article_id,comment_counter,comment_id,comment_text,comment_author,timestamp,datetime,year,parentID,is_top_level,TotalVotes,posVotes,negVotes,vote,engagement_bin,threadID,replies,descendantsCount,sender_isSelf,predicted_toxicity_score,predicted_toxicity_level,prediction_confidence
9317467,source1_9317467_13_1,c9291b0961d644b9abb9a951fb80c53f,but would Canada want you? Last week you were trashing Canada,southcoaster,1362620408000.0,2013-03-07 01:40:08.000,2013,3d98879e7ef3411d9378d22b80e9da95,False,0.0,,,none,low,3d98879e7ef3411d9378d22b80e9da95,,,False,0.39021665,2.0,1.0
13581949,source1_13581949_72_2,e8c42cc8475b4613a4b7408008384ce9,"That's a bit of a tall order David, Ted's statue is 3.5 metres high:-)",Matt99f,1375556104000.0,2013-08-03 18:55:04.000,2013,14a5124b9dc7497ab3b77a7946b31928,False,0.0,,,none,low,14a5124b9dc7497ab3b77a7946b31928,,,False,0.018723432,1.0,1.0
8114824,source1_8114824_38_3,91857efaa9ed42aeabbb1480a6391e37,"One of GlynnMhor's irritating little tics is his use of a lower case 'i' in 'Indians'Yet he had no trouble using capital letters in his own grandiose display name. Ah, well, maybe he was younger then.",Mark Shore,1359832236000.0,2013-02-02 19:10:36.000,2013,1421db05aafb4590a11e2a4ea5b79f5c,False,0.0,,,none,low,1421db05aafb4590a11e2a4ea5b79f5c,,,False,0.25462922,2.0,1.0
13216412,source1_13216412_17_2,7c87230963cd4feeb5a2a4f6cff392b9,Who says Hispanics are not racist? It is racist to think only whites are racist.,Rifleman1010,1374080598000.0,2013-07-17 17:03:18.000,2013,d074375b1850458096204c354c011260,False,0.0,,,none,low,d074375b1850458096204c354c011260,,,False,0.3811502,2.0,1.0
12292515,source1_12292515_154_6,5157ff4ced8e4c9f968cc32fd66cd00b,"@newspapertaxi - 'The unmentionable race/class problem in Canada is our indigenous American Indian population.'Your comment is overly myopic and illustrates great ignorance regarding what First Nations people have endured since the British, French, Spanish, and Portuguese have arrived in the Americas. Think of all the genocide, the diseases that wiped out entire tribes, and more recently in Canada, Residential Schools!",freespeech,1370185026000.0,2013-06-02 14:57:06.000,2013,854b403085cc4cd38ac2130774bd14e1,False,0.0,,,none,low,854b403085cc4cd38ac2130774bd14e1,,,False,0.37751234,2.0,1.0
8354440,source1_8354440_57_5,5d312e836f7e41faa882c7c1d10c14ea,"I would never discourage the citing of referenced scientific papers. These cover a range of modeled sensitivities, from the middle of the pack to low ones that have drawn technical criticism. But that's all part of a healthy scientific process. However AntonioSan's referencing of these would have been slightly more impressive if they had not all come from the same blog post, if the URL for the Schmittner et al. preprint had been updated, and if he showed some evidence of having read the papers in question. xhttp://www.masterresource.org/2012/03/lower-climate-sensitivity-estimates/xhttp://public.lanl.gov/nurban/pubs/lgm-cs-uvic.pdf",Mark Shore,1360371571000.0,2013-02-09 00:59:31.000,2013,4d5fd70accc84395aeef08f53ac4347f,False,0.0,,,none,low,4d5fd70accc84395aeef08f53ac4347f,,,False,0.039462693,1.0,1.0
9295486,source1_9295486_8_3,60d1bbf174554eb7ad85a122f8d70728,"Exactly. It's tough to see Alberta or B.C. as solitudes when everyone here is from somewhere else - mostly from other parts of Canada. What's remarkable about Canada is the flow of people and ideas across provincial border, not some imaginary 'solitudes'.",Rob in Calgary,1362590221000.0,2013-03-06 17:17:01.000,2013,75aa13b33c1d4530aaa46e485235d57c,False,0.0,,,none,low,75aa13b33c1d4530aaa46e485235d57c,,,False,0.017341165,1.0,1.0
13514528,source1_13514528_68_2,00d1d1ca1a9e4dadb7623197cfec71c1,"Commenter... the original video showed the cop shooting kid 6 more times after he was down. Does that seem like a response within the bounds of his training? If so, I'd suggest the police need their training manuals adjusted.",Tim Bryson,1375285309000.0,2013-07-31 15:41:49.000,2013,82ce09df38a1483982d744d9476e5200,False,0.0,,,none,low,82ce09df38a1483982d744d9476e5200,,,False,0.15490346,1.0,1.0
8987654,source1_8987654_94_8,9502fbc582e74ad58d01e55c63c6d59e,"F1gigafanStrange how there are over one billion Catholics in the world though. Just saying...-------------and another billion of CHRISTIANS (Orthodox, Protestants, evangelicals...)then add 1.3 billion Muslimssorry ATHEISTS",Progressive111,1361652148000.0,2013-02-23 20:42:28.000,2013,fb22bf8734f5462690ae4884be9a94a0,False,0.0,,,none,low,fb22bf8734f5462690ae4884be9a94a0,,,False,0.2854699,2.0,1.0
11795465,source1_11795465_26_1,d7e8e5beea9b45b2b5aca8613dde25a3,".Hi K,I had to fill it out years ago and it took me 10 minutes. I actually had no idea what it was, I called the #, the (very nice) Lady explained it to me, I filled it out and never thought of it as a 'burden'. .",Canada1,1368108273000.0,2013-05-09 14:04:33.000,2013,955e061c840d4badafd1ebf8fed651f4,False,0.0,,,none,low,955e061c840d4badafd1ebf8fed651f4,,,False,0.0414203,1.0,1.0
