bertopic_topic_label,pct_toxicity_1.0,pct_toxicity_2.0,pct_toxicity_3.0,pct_toxicity_4.0
"Animals, Food, Meat Ethics & Environment",73.33333333333333,25.0,0.0,1.6666666666666667
"Bullying, Civility & Editorial Disputes",62.5,31.25,6.25,0.0
Canada Identity / Provinces / General National Talk,88.88888888888889,5.555555555555555,0.0,5.555555555555555
"Canadian Culture, Language & Immigration Identity",67.85714285714286,32.142857142857146,0.0,0.0
Canadian Party Politics & Electoral Reform,92.3076923076923,7.6923076923076925,0.0,0.0
"Cities, Transit & Urban Development",88.70967741935483,9.67741935483871,1.6129032258064515,0.0
"Citizenship, Dual Citizenship & Niqab Ceremony",73.91304347826086,26.08695652173913,0.0,0.0
Climate Change & CO2 Debate,88.88888888888889,11.11111111111111,0.0,0.0
Columnist/Political Culture Commentary (Coyne etc.),94.44444444444444,5.555555555555555,0.0,0.0
"Consumer Prices, Markets & Groceries",94.11764705882352,0.0,5.88235294117647,0.0
Debate About Terms / Argumentation Style,75.71428571428571,18.571428571428573,5.714285714285714,0.0
"Education: Teachers, Schools & Kids",84.26966292134831,13.48314606741573,1.1235955056179776,1.1235955056179776
Energy Tech (Solar/Wind/Nuclear/Power),84.84848484848484,9.090909090909092,6.0606060606060606,0.0
Evidence vs Truth Debate (Kingwell Thread),96.0,4.0,0.0,0.0
Fascism/Nazism/Confederate Symbols,50.0,43.75,6.25,0.0
"Gender, Feminism & Relationships",57.14285714285714,41.07142857142857,1.7857142857142856,0.0
General Banter / Agreement Replies,93.20987654320987,5.555555555555555,1.2345679012345678,0.0
Harper vs Trudeau Election Talk,73.0,20.0,7.000000000000001,0.0
Harper-era Conservatism & Government,90.9090909090909,4.545454545454546,0.0,4.545454545454546
"Healthcare System: Doctors, Hospitals & Patients",81.81818181818183,16.666666666666664,1.5151515151515151,0.0
Immigration Policy & Legal Process,88.23529411764706,11.76470588235294,0.0,0.0
Insults / Ad Hominem Flame Replies,26.666666666666668,46.666666666666664,20.0,6.666666666666667
Israel–Palestine / Middle East Politics,51.85185185185185,46.2962962962963,0.0,1.8518518518518516
Justin Trudeau & Canadian Federal Leadership,89.65517241379311,10.344827586206897,0.0,0.0
Marijuana/Drugs/Alcohol Legalization Debate,80.76923076923077,19.230769230769234,0.0,0.0
Media & Journalism (Globe and Mail Commentary),78.94736842105263,12.631578947368421,7.368421052631578,1.0526315789473684
"Oil, Pipelines & Alberta Energy Industry",92.06349206349206,6.349206349206349,1.5873015873015872,0.0
Outlier/Unassigned,77.73497688751925,18.451463790446844,3.2357473035439135,0.5778120184899845
"Parenting, Class & Family Life",88.57142857142857,5.714285714285714,5.714285714285714,0.0
Partisan Competence / Messaging (Liberal vs Conservative),87.5,12.5,0.0,0.0
Personal Encouragement / Health / Small Talk,65.21739130434783,30.434782608695656,4.3478260869565215,0.0
"Police, Guns & Crime",82.90598290598291,13.675213675213676,2.564102564102564,0.8547008547008548
Political Ideology Spectrum & Media Bias,71.42857142857143,23.809523809523807,4.761904761904762,0.0
Political Scandal & Corruption (Senate/PMO),80.55555555555556,16.666666666666664,2.7777777777777777,0.0
Praise/Feedback on Posts and Columns,92.5,2.5,2.5,2.5
Quoted Conversation / Anecdotes (Name-Heavy Thread),94.73684210526315,5.263157894736842,0.0,0.0
Race & Racism Discourse (White/Black),27.586206896551722,58.620689655172406,10.344827586206897,3.4482758620689653
"Racism, Law & Policy Framing",60.0,40.0,0.0,0.0
Refugees & Immigration System,84.61538461538461,11.538461538461538,3.8461538461538463,0.0
Religion (Islam/Christianity) & Church Issues,47.474747474747474,47.474747474747474,4.040404040404041,1.0101010101010102
Russia–Ukraine / NATO / Geopolitics,69.38775510204081,26.53061224489796,4.081632653061225,0.0
"Taxes, Pensions & Public Finances",87.55555555555556,10.666666666666668,1.3333333333333335,0.4444444444444444
Toronto Politics (Rob Ford / Mayor Drama),60.60606060606061,30.303030303030305,6.0606060606060606,3.0303030303030303
US Politics (Trump/Clinton/Obama),56.666666666666664,31.666666666666664,10.0,1.6666666666666667
"Vaccines, Vaccination & Disease Risk",66.66666666666666,33.33333333333333,0.0,0.0
"Voting, Elections, Polls & Referendums",89.53488372093024,10.465116279069768,0.0,0.0
"War, Terrorism & Security (Syria/ISIS)",75.51020408163265,24.489795918367346,0.0,0.0
