comment_id,comment_text,toxicity_level,article_id,year,bertopic_topic,bertopic_topic_label,bertopic_probability
b2aca04a61aa4c8988699fb4d3aaf23a,province waste money take money give worker raise,1.0,10019010.0,2013.0,0,"Taxes, Pensions & Public Finances",0.2292510556076063
d4d871491d35456d936b45cc24f7f038,banking sick day intelectually dishonest considering utilized action speak louder word,1.0,10030963.0,2013.0,5,Media & Journalism (Globe and Mail Commentary),0.0
35ed0e3ef28b4ce989a7f375dbe90502,sburg please explain exist worked long public sector bubble,1.0,10030963.0,2013.0,9,Political Scandal & Corruption (Senate/PMO),0.12870411132879112
ea4ef5fa271f47b2808821aba6e27171,wedge issue agreeing one thing complete inability grasp fact people sick tired paychequaes plundered another,2.0,10030963.0,2013.0,12,"Healthcare System: Doctors, Hospitals & Patients",0.1285373169210973
001144f551e5417baa7f20715533b9cb,banking sick time incentive working sick terrible idea spirit benefit,1.0,10030963.0,2013.0,33,Personal Encouragement / Health / Small Talk,0.0
319022d8ff3546d480cf0f48f725fc94,wow think one vocal support benefit pension plan canadian joannie right union goon one claiming nobody access affordable pension benefit pay inflated individual price open market without right big business lobbyist like cfib joan reform mean improve time reform pension benefit betterment canadian,2.0,10030963.0,2013.0,0,"Taxes, Pensions & Public Finances",0.0
ffa9e6a4802d45a1b0a207c87093e942,rock tell get fact straight know fact shut different said getting wage compared private sector say challenge post link online position year worked say bsing say right,2.0,10030963.0,2013.0,0,"Taxes, Pensions & Public Finances",0.4660975286360887
135c134feb904f1d9fa6e5fd7bfc9328,bull droppings enter real world find work commitment sacrifice conquer challenge share sense real self esteem productive worthy tax paying citezens also pay compensated butt,2.0,10030963.0,2013.0,0,"Taxes, Pensions & Public Finances",1.0
7236f07f9dc7408a8c1806da18c00c81,government big trying much,1.0,10030963.0,2013.0,29,Canadian Party Politics & Electoral Reform,0.0
474300e424014a8b98734a5f595bc15a,median type average,1.0,10030963.0,2013.0,7,"Voting, Elections, Polls & Referendums",1.0
70f9943a5b634022b3c24ed6b1c0d9f7,petrochina poised build northern gateway using foreign labour bid northern gateway prosperity job harper jester arepromising job,1.0,10099582.0,2013.0,35,Harper-era Conservatism & Government,0.0
a01a3e7649f2420ebebf6dd17bb97ddb,oil soaked wastland brush cheezies greenpeace shirt actually visit alberta sometime local service station oil change bay,1.0,10099582.0,2013.0,13,"Oil, Pipelines & Alberta Energy Industry",0.0
f9401e9038094ceeb4bfc79718f57fa6,excellant point loss credibility associated gutting protection omnibus bill closure ela facility produced science benefit canadian lethal conservative brand middle road people simply believe government say environmental issue outcome keystone approval another example lack environmental vision,1.0,10099582.0,2013.0,13,"Oil, Pipelines & Alberta Energy Industry",0.0
f362e1a99e7f47d6a915a5518977e86f,credibility spill ship could even make news conference without running aground www hit sand bar certainly show question answered,1.0,10099582.0,2013.0,5,Media & Journalism (Globe and Mail Commentary),0.0
aa9fbe699f76459f8293bb2f4d549c5b,sick con liar theme ndp damage lying fast ferry scandal later casinogate dix caught lying selective liberal dandy con bad,2.0,10099582.0,2013.0,9,Political Scandal & Corruption (Senate/PMO),0.0
6536c852b5be4f4f904a24033d97f13f,workfare disaster wherever implemented similar program also similar program worked one iota improve quality life poor either country investment skill training far better route thankfully incentive hire new employee redeeming feature budget course would say good luck skill training initiative look like classic white elephant program given vague detail cooperation province industry implement,1.0,10108172.0,2013.0,27,Race & Racism Discourse (White/Black),0.0
d8487689549e47559fdc056ab8eaf719,poll doe say claim doe done called lying footnote franken devotes entire chapter tactic lying liar tell american ill proven fact conflict concerned day war response desire land israel started war strictly purpose seizing palestinian egyptian syrian lebanese territory occupation illegal yom kippur response israel refusal end occupation land belonging others israeli soldier occupied land attacked one shot fired inside israel israel belligerent illegal colonization occupied palestinian land reason senseless racist conflict continues today remember jew treated horribly make okay treat others horribly palestine partitioned fulfill agreement euopean american zionist british government,2.0,10157546.0,2013.0,18,Israel–Palestine / Middle East Politics,1.0
94297aa081774ef7a7d9d22c06e29ee5,lady wrote book less said african nation would better embracing capitalism,1.0,10160796.0,2013.0,27,Race & Racism Discourse (White/Black),0.09649562107311792
ed18d00dda554f749b7ddc17b21073e8,canada never world leader reputation safe please remember reputation others think think,1.0,10176957.0,2013.0,1,General Banter / Agreement Replies,0.0
38a62cfbd6124260a682bba86e88812a,everything said applies equally heterosexual couple point,1.0,10193881.0,2013.0,1,General Banter / Agreement Replies,0.19501342381613956
a3362fd4f8bd47d6a11af21d1cc54883,chas13 still take two assume mean baby discounting ivf sperm donation surrogate mother adoption myriad way couple gay str8 make baby answer baby requirement marriage anyone separate discussion marriage lot heterosexual couple never become parent still let marry,1.0,10193881.0,2013.0,22,"Parenting, Class & Family Life",0.0
17deda13f0c648adaca22e96e72e6ed6,good better fact marriage incapable procreation married partner indicates procreation part marriagewhich purpose traditional marriage relgion including islam hindu buddhism cover whole worldnot endorsment traditional marriage merely explaining biological fact seem intent ignoringdiscussing traditional marriage without religious context bad scholarship,2.0,10193881.0,2013.0,4,Religion (Islam/Christianity) & Church Issues,0.0
a28899a2d7724b15b8ed6f1510d8d8b6,thanks farce interesting perspective given something think make time wasted reading drivel konrad wrote,2.0,10193881.0,2013.0,5,Media & Journalism (Globe and Mail Commentary),0.0
f0e53adf56aa4bc7b267c19b55e31617,talk opinion marriage right business marriage right debated opinion opponent tallied politician act voting take place opinion support denying equal civil right need challenged canada debate better okay marginally less extreme,1.0,10193881.0,2013.0,9,Political Scandal & Corruption (Senate/PMO),0.0
44189b894f8648c7bc8414809f318962,jasper would object use term strategic implies long term something build upon done neither think better adjective short term goal damn long term consequence,2.0,10198519.0,2013.0,11,Debate About Terms / Argumentation Style,0.22703394809101218
6fa70775e0d6491e9962adb0dbdecfc1,right treat like tax collect money deny people benefit need mention poggy police coming check,1.0,10198519.0,2013.0,0,"Taxes, Pensions & Public Finances",0.0
ecd1adee608b4f7ea6db19cd680e6b3e,read article discussing comment section people vent biased non researched opinion considered returning money people earned away suppose based definition away,1.0,10198519.0,2013.0,5,Media & Journalism (Globe and Mail Commentary),0.0
